item,text,cond
0,je veux du pain,normal
1,te il cela dit,scrambled
2,elle doit te voir,normal
3,un peu de vin,normal
4,le toît est bleu,normal
5,une clef en fer,normal
6,est beau abri ton,scrambled
7,puni tout sera abus,scrambled
8,quoi que ce soit,normal
9,du il vend miel,scrambled
10,loft le est sale,scrambled
11,la rame en bois,normal
12,il dort chez nous,normal
13,je skie tout seul,normal
14,elle boit du jus,normal
15,son joli chat gris,normal
16,rage en la toi,scrambled
17,sa jupe en soie,normal
18,perd du il sang,scrambled
19,jeu un toi pour,scrambled
20,sauf si je veux,normal
21,scie il bois du,scrambled
22,tu sens très bon,normal
23,ce pull est bleu,normal
24,sort tram elle du,scrambled
25,je vis ma vie,normal
26,face de toi en,scrambled
27,voix or en une,scrambled
28,un bel ange vole,normal
29,vise le il mur,scrambled
30,en fer une arme,scrambled
31,la baie de goji,normal
32,vous avez bien joué,normal
33,une page de plus,normal
34,tu fais une bise,normal
35,part il au bloc,scrambled
36,beau un brun bébé,scrambled
37,sert amie il son,scrambled
38,ta mère te vois,normal
39,bois soda un je,scrambled
40,il est tout neuf,normal
41,es sage tu bien,scrambled
42,la dame est âgée,normal
43,note je date la,scrambled
44,il fait beau ici,normal
45,perd il dent une,scrambled
46,elle fait sa diva,normal
47,fil fin est ce,scrambled
48,été avec un toi,scrambled
49,long est le film,scrambled
50,ta robe est rose,normal
51,drap ton plié est,scrambled
52,ton père est là,normal
53,il faut être chic,normal
54,ce gant est laid,normal
55,il va au gala,normal
56,est là la gare,scrambled
57,loto le gain du,scrambled
58,kiwi le vert est,scrambled
59,est cuit le rôti,scrambled
60,le lac est gelé,normal
61,les gens sont fous,normal
62,du bon foie gras,normal
63,il rase les murs,normal
64,la grue te gêne,normal
65,du saut de haie,normal
66,loup ce soif aura,scrambled
67,la peur du vide,normal
68,pars en je juin,scrambled
69,très poli êtes vous,scrambled
70,fais du tu judo,scrambled
71,est oral prêt mon,scrambled
72,ce plat est bon,normal
73,le menu est cher,normal
74,un kilo de maïs,normal
75,est leur plan bien,scrambled
76,lien est fort ce,scrambled
77,en un cage lion,scrambled
78,le bel ara vole,normal
79,ton ami se vexe,normal
80,long quel noir vers,scrambled
81,coup un de cric,scrambled
82,ce beau drap rose,normal
83,il dure ce film,normal
84,il erre tout seul,normal
85,est le paon vert,scrambled
86,faon un tué sera,scrambled
87,pie une vole haut,scrambled
88,rat leur crie fort,scrambled
89,ce jeu est nul,normal
90,elle aime son père,normal
91,film ce fini muet,scrambled
92,fine la tige gèle,scrambled
93,mes deux avec amis,scrambled
94,elle prit un flan,normal
95,le prix est salé,normal
96,ton foie est gris,normal
97,cent deux onze plus,scrambled
98,un euro pour toi,normal
99,ne fume pas trop,normal
100,tu bois très vite,normal
101,tu tues des gens,normal
102,il gare son auto,normal
103,mari le est veuf,scrambled
104,hier il est venu,normal
105,vous irez en bas,normal
106,son le aigu est,scrambled
107,fait judo du on,scrambled
108,il joue avec moi,normal
109,je juge une amie,normal
110,labo laid est leur,scrambled
111,plan ton dur est,scrambled
112,le lama est vif,normal
113,la mare est vide,normal
114,tu me mens déjà,normal
115,mets un tu pull,scrambled
116,ton miel est fade,normal
117,nain gai le est,scrambled
118,mien le gros est,scrambled
119,ne tu pas dors,scrambled
120,on mise très gros,normal
121,mort est il vite,scrambled
122,mord œuf un il,scrambled
123,noir taxi ce est,scrambled
124,cave vide est la,scrambled
125,ira elle sans toi,scrambled
126,le choc est dur,normal
127,nage vite trop elle,scrambled
128,nota truc il un,scrambled
129,elle noue ce bout,normal
130,obus vite va cet,scrambled
131,ils sont tous nus,normal
132,tu oses le dire,normal
133,cet ours est beau,normal
134,page la vide est,scrambled
135,paix la rare est,scrambled
136,rote il fort très,scrambled
137,pue elle un peu,scrambled
138,lui tu pars vers,scrambled
139,tu as une main,normal
140,pays ce est plat,scrambled
141,pied ton doux est,scrambled
142,fume pipe il une,scrambled
143,fait on un tipi,scrambled
144,le pire est loin,normal
145,il plie un poil,normal
146,ce pont fut brun,normal
147,le porc sera rôti,normal
148,elle pose pour moi,normal
149,tu as des poux,normal
150,ton pote est viré,normal
151,il prie en vain,normal
152,tout suis je gris,scrambled
153,le rail en fer,normal
154,rang êtes en vous,scrambled
155,tu bois du rhum,normal
156,elle veut du lait,normal
157,aura une il ride,scrambled
158,ton rire est nul,normal
159,la rose fane vite,normal
160,ces sacs sont gris,normal
161,le sage est sauf,normal
162,boit un on soda,scrambled
163,pull soie en ton,scrambled
164,le soja est frit,normal
165,ogre crie gros un,scrambled
166,sues fort très tu,scrambled
167,âne suis un je,scrambled
168,le sumo est gros,normal
169,le thon est gras,normal
170,il tape un taon,normal
171,trop tard sera il,scrambled
172,ce test est long,normal
173,tofu est bon le,scrambled
174,aime le on pâté,scrambled
175,vélo de un tour,scrambled
176,tube fut ce vidé,scrambled
177,il part au trot,normal
178,afin de les tuer,normal
179,vous usez le vase,normal
180,veau joli ce est,scrambled
181,vent est le fort,scrambled
182,vend des on yeux,scrambled
183,zone la est vide,scrambled
184,une aire de jeu,normal
185,visa pour un toi,scrambled
186,vins bons sont tes,scrambled
187,je vide mon sac,normal
188,urne de une plus,scrambled
189,pour unir les gens,normal
190,de ce tuba type,scrambled
191,tsar est le turc,scrambled
192,trio leur loin ira,scrambled
193,tu as le trac,normal
194,ce bel avec arc,scrambled
195,ton ara va bien,normal
196,taxe il rue une,scrambled
197,va vie la tant,scrambled
198,tu as des sous,normal
199,sort un il truc,scrambled
